NO,TRACTOR,TRAILER,TRUCK MAKE,TRUCK MODEL
152,KBH 446M,ZC 0314,Mercedes-Benz,Axor MP1
153,KBG 537K,ZC 2972,Mercedes-Benz,Actros MP1
154,KBP 562M,,Mercedes-Benz,Axor MP1
155,KBR 489M,ZD 9039,Mercedes-Benz,Actros MP2
156,KCC 870S,ZC 1880,Mercedes-Benz,Axor MP2
157,KCN 402N,ZD 3162,Mercedes-Benz,Axor MP2
158,KBR 930V,,Mercedes-Benz,Axor MP2
159,KCR 386J,,Mercedes-Benz,Axor MP2
160,KCC 138S,ZE 3968,Mercedes-Benz,Axor MP2
161,KCW 662E,ZE 7183,Mercedes-Benz,Axor MP3
162,KBZ 477L,ZE 7592,Mercedes-Benz,Axor MP2
163,KBL 779J,,Mercedes-Benz,Axor MP1
164,KBJ 155C,ZD 7574,Mercedes-Benz,AXOR
165,KCN 403N,ZD 4904,Mercedes-Benz,Axor MP2
166,KBP 760R,,Mercedes-Benz,Axor MP1
167,KBR 253V,ZD 9044,Mercedes-Benz,Axor MP2
168,KCD 338Q,ZF 0373,Mercedes-Benz,Axor MP2
169,KCF 207Q,ZF 2577,Mercedes-Benz,Axor MP2
170,KCN 398N,ZD 4834,Mercedes-Benz,Axor MP2
171,KBR 254V,ZD 9040,Mercedes-Benz,Axor MP2
172,KBK 283G,ZE 2238,Mercedes-Benz,Axor MP1
173,KBY 571K,ZE 6719,Mercedes-Benz,Axor MP2
174,KBY 572K,ZC 0180,Mercedes-Benz,Axor MP2
175,KBJ 850Y,ZD 2382,Mercedes-Benz,Actros MP1
176,KBS 971D,,Mercedes-Benz,Axor MP2
177,KBR 931V,,Mercedes-Benz,Axor MP2
178,KBQ 673T,,Mercedes-Benz,Axor MP2
179,KCC 896,,Mercedes-Benz,AXOR
180,KBL 622,,Mercedes-Benz,AXOR
181,KCN 561,,Mercedes-Benz,Axor
182,KBS 332K,,KBS 332K,
183,KBR 621L,,Mercedes-Benz,Axor MP2
184,KBR 853,,Mercedes-Benz,Axor MP2
185,KBV 981,,Mercedes-Benz,Axor MP2
186,KBL 534U,,Mercedes-Benz,Axor MP2
187,KBL 815T,,Mercedes-Benz,Axor MP2
